band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,419,403,496,508,482,416,561,424,358,515,582,473,263
887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,887,1011,971,854,964,933,799,1192,879,741,1149,1176,369
812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,812,943,1043,899,1154,962,1032,854,1067,993,1042,997,219
1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,1044,1075,1067,1095,1065,1091,1045,1093,1033,1111,1084,1074,491
3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,3018,3006,3020,3017,3028,3019,2931,2983,3127,2982,3056,3029,406
1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,1034,976,862,1155,1161,912,1064,1132,1043,1044,1038,1039,382
2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,2508,2502,2538,2528,2385,2648,2464,2569,2529,2518,2486,2557,128
329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,329,321,339,327,331,328,330,330,311,343,334,332,69
1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,1614,1626,1647,1247,2002,1626,1660,1288,1970,1547,1566,1788,79
863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,863,817,878,889,862,896,798,926,870,847,888,900,613
1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,1332,1371,1277,1457,1251,1536,1407,1330,1313,1444,1415,1394,461
736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,736,736,737,694,794,716,764,741,735,744,739,741,601
1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,1516,2140,1533,2110,1748,1920,1867,1509,2095,1824,1912,1845,253
954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,954,946,754,1037,551,1255,1099,1049,828,1083,956,956,19
11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,11458,11488,11468,11240,11707,11476,10962,11843,11349,11739,10554,12392,101
2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,2676,2552,2200,3271,1497,3409,2647,3096,2719,2297,3065,2677,443
1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,1112,1344,820,1535,1966,1354,1183,1335,1743,710,1841,1696,385
695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,695,595,1046,707,754,814,707,689,1092,1080,707,969,595
513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,513,603,605,379,1529,23,841,486,853,843,607,264,,,,,,,,,,,,
673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,673,677,572,776,691,667,642,711,690,652,693,693,586
1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,1402,1277,1542,1309,1471,1265,1425,1437,1482,1497,1390,1433,576
3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,3642,4105,3343,4381,3945,3493,4150,3909,3963,3789,3839,4039,314
996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,996,1755,2925,3295,2740,2698,2415,1553,1812,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,433,456,443,393,490,425,471,433,452,448,441,449,40
1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,1421,1596,1570,1803,2469,1968,2485,1532,1758,1775,1673,420,,,,,,,,,,,,
404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,404,380,391,514,406,435,404,226,545,516,518,432,10
3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,3816,5271,3701,3701,6012,4736,4520,4578,4451,4630,4497,4604,550
2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,2953,2920,2926,3015,2955,2223,3573,3005,3013,2954,2899,3014,438
3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,3808,3016,4586,3824,3561,1855,4475,5136,3694,3868,3842,4036,100
718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,718,729,683,814,814,681,872,726,685,869,644,905,266
1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,1608,1617,1515,1712,1611,1613,1607,1555,1672,1521,1708,1616,471
1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,1339,2542,1341,3186,2809,1845,2570,2315,2189,2307,2236,2256,442
1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,1565,2186,1289,1813,2536,1633,2120,1872,1889,1679,1993,1964,166
980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,980,952,968,954,785,1242,770,1178,993,978,982,981,386
