band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,1849,1427,1535,1966,1767,2105,1743,1897,2350,385
958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,958,807,1278,754,1521,689,1565,1099,1184,595
785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,785,331,984,1062,490,841,1063,772,954,264
868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,868,932,898,886,924,901,867,899,962,586
1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,1587,1482,2461,1705,1994,1899,2038,1829,1935,576
4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,4987,5217,5267,5212,5189,5096,5190,5209,5231,314
996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,996,1755,2925,3295,2240,500,2698,3516,2264,274
570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,570,605,550,645,488,686,603,593,594,40
1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,1826,2617,1947,2469,1968,2485,1532,2706,2500,420
532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,532,520,637,533,570,368,726,709,576,10
4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,4998,7056,4435,7594,6193,6059,6062,5680,6440,550
3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,3939,3908,3967,3785,4058,3913,3752,4181,3947,438
5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,5021,5004,5209,5065,4826,5136,5223,4687,5530,100
975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,975,989,980,1107,927,1059,1008,1052,1043,266
1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,1988,2312,2152,2112,2143,2131,2216,2150,2151,471
2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,2947,2275,3186,3525,2942,3072,2858,2885,3245,442
2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,2395,2612,1846,2779,2889,2493,2516,2411,2598,166
1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,1264,1168,1422,1279,1402,1294,1306,1321,1307,386
2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,2714,2803,2719,2690,2777,2761,2847,2755,2764,121
2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,2405,2472,2366,2480,2331,2580,2407,2400,2511,236
3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,3475,3545,2862,3788,3234,4285,3190,3797,3608,537
705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,705,724,717,488,934,776,598,873,777,270
362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,362,268,569,376,392,397,616,509,447,608
1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,1476,1496,1591,1555,1472,1611,1503,1565,1542,467
2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,2116,2153,2047,2050,2280,2124,2121,2202,2137,383
1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,1093,1080,1059,865,1374,918,1232,1166,1106,291
444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,444,590,537,498,502,570,503,549,525,319
3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,3244,3607,3145,3654,3466,3556,3445,3450,3446,252
2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,2912,3430,3237,3348,3253,3210,3021,3188,3525,413
916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,916,1212,911,851,1224,1262,1047,1011,1139,21
1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,1778,1772,1727,1583,1958,1588,1917,1888,1788,569
657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,657,763,848,779,807,868,871,814,825,325
1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,1986,1337,3130,2391,2170,2222,2135,2284,2249,134
129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,129,128,129,129,128,129,127,130,129,98
3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,3372,3172,3436,4722,3510,3523,3065,4670,4077,533
2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,2453,2353,2487,2565,2672,2486,2505,2450,2584,108
2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,2639,2862,2856,2843,2846,2643,2972,2788,2834,402
2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,2612,2552,2688,2621,2561,2650,2652,2610,2631,507
1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,1760,1876,1845,1835,1704,1935,1734,1940,1844,367
905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,905,950,976,1051,969,977,976,972,973,590
4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,4844,5113,5305,5071,5015,5176,5078,5096,5090,475
3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,3598,3608,3449,3758,3604,3584,3577,3637,3616,120
1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,1910,1961,1852,1898,2024,1966,1923,1949,1936,483
1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,1380,1694,1289,1361,1507,2008,1239,1783,1600,620
