band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,585,504,688,954,573,573,884,700,605,806,629
1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,1216,1141,1312,1085,1288,1211,926,1613,1177,1284,355
2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,2683,2460,2387,2760,3077,2904,2153,3227,2754,2735,504
754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,754,866,859,750,871,859,808,825,834,854,261
877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,877,910,830,936,916,858,798,942,977,894,220
3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,3396,3329,3043,3648,3661,3362,3251,3633,3414,3418,480
2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,2581,2877,2731,2720,2625,2843,2718,2673,2803,2733,340
1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,1261,1247,1284,1263,1255,1222,1295,1268,1271,1272,67
1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,1477,1437,1568,2118,1665,1675,1649,1614,1636,1769,135
1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,1578,1567,1590,1601,1519,1649,1569,1597,1574,1597,360
6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,6577,6699,6637,6575,6530,6811,6580,6672,6534,6792,521
306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,306,318,252,366,327,292,318,340,316,315,276
3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,3892,4529,3798,4307,4660,4214,4263,4256,4246,4245,563
620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,620,834,641,1060,68,1499,1405,990,903,353,,,,,,,,,,,,
4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,4894,4948,4925,4921,4897,4949,4917,4932,4910,4936,99
791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,791,808,809,756,816,840,780,820,809,805,614
892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,892,873,832,966,277,876,1398,1043,927,932,292
1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,1494,1490,1471,1488,1533,1507,1487,1512,1492,1515,464
7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,7673,7736,7552,7534,7982,7784,7718,7675,7620,7843,538
3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,3641,3743,3602,3794,3679,3678,3620,3767,3590,3841,398
943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,943,1049,911,1167,992,1290,679,1376,1139,1090,379
970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,970,1373,1034,1186,1369,1184,1284,1264,1202,1224,44
854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,854,535,945,1200,785,699,1111,957,882,890,83
5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,5054,5328,4417,6257,5265,4540,5598,5654,5264,5265,503
130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,130,120,130,118,134,146,130,116,140,134,205
5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,5411,5282,5665,5728,5879,5682,5611,5243,5914,5680,555
6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,6199,6260,6473,6289,6328,6314,6309,6304,6319,6311,25
4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,4656,4720,4712,2513,5194,6043,4721,5005,4655,4745,469
1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,1345,1338,1321,1354,1304,1367,1354,1370,1348,1375,602
884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,884,931,816,1004,927,927,904,908,899,952,217
32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,32,64,191,106,88,82,34,118,91,30,,,,,,,,,,,,
2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,2737,3070,2910,2956,2390,3239,1487,4578,2922,2922,449
1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,1288,1319,1321,1290,1293,1350,1216,1420,1320,1315,32
1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,1399,1441,1417,1326,1498,1371,1474,1464,1407,1441,216
56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,56,55,56,56,51,60,56,55,57,56,96
1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,1518,1517,1489,1527,1536,1514,1519,1504,1530,1520,14
1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,1142,1187,1016,930,1363,733,1153,1390,2122,1338,594
6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,6230,5950,6530,6243,6420,6230,6320,6308,6283,6281,554
3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,3734,3177,3937,3259,4173,3765,3557,4319,3902,3803,416
914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,914,932,947,857,1025,896,913,975,926,965,160
1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,1836,1934,1883,1895,1903,1978,1915,1865,1954,1910,604
