band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,9291,8765,9909,9247,9416,9467,555
10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,10331,10474,10744,10522,10517,10518,25
7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,7820,7778,6197,8977,8343,7849,469
2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,2243,2233,2186,2295,2245,2274,602
1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,1470,1578,1514,1367,1618,1605,217
96,170,127,106,171,136,96,170,127,106,171,136,96,170,127,106,171,136,96,170,127,106,171,136,96,170,127,106,171,136,96,170,127,106,171,136,96,170,127,106,171,136,96,170,127,106,171,136,96,170,127,106,171,136,96,170,127,106,171,136,96,170,127,106,171,136,96,170,127,106,171,136,30
4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,4699,5038,4326,4726,4988,5434,449
2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,2189,2187,2135,2202,2110,2309,32
2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,2325,2414,2342,2354,2405,2398,216
93,93,88,96,93,95,93,93,88,96,93,95,93,93,88,96,93,95,93,93,88,96,93,95,93,93,88,96,93,95,93,93,88,96,93,95,93,93,88,96,93,95,93,93,88,96,93,95,93,93,88,96,93,95,93,93,88,96,93,95,93,93,88,96,93,95,93,93,88,96,93,95,96
2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,2527,2527,2533,2527,2525,2535,14
1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,1827,1893,1918,1886,2666,2184,594
10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,10466,10100,10807,10429,10435,10558,554
6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,6141,6397,5742,6451,6054,6841,416
1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,1552,1427,1696,1531,1575,1569,160
3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,3156,3182,3113,3231,3194,3197,604
2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,2961,2943,3210,3120,2801,3346,593
1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,1663,1676,1703,1544,1628,1926,392
39,43,10,46,58,49,39,43,10,46,58,49,39,43,10,46,58,49,39,43,10,46,58,49,39,43,10,46,58,49,39,43,10,46,58,49,39,43,10,46,58,49,39,43,10,46,58,49,39,43,10,46,58,49,39,43,10,46,58,49,39,43,10,46,58,49,39,43,10,46,58,49,27
6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,6380,6377,6432,6391,6414,6399,425
1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,1512,1524,1579,1618,1558,1559,473
820,858,1133,949,937,953,820,858,1133,949,937,953,820,858,1133,949,937,953,820,858,1133,949,937,953,820,858,1133,949,937,953,820,858,1133,949,937,953,820,858,1133,949,937,953,820,858,1133,949,937,953,820,858,1133,949,937,953,820,858,1133,949,937,953,820,858,1133,949,937,953,820,858,1133,949,937,953,75
3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,3064,3124,3105,3129,3104,3107,172
733,819,769,778,788,789,733,819,769,778,788,789,733,819,769,778,788,789,733,819,769,778,788,789,733,819,769,778,788,789,733,819,769,778,788,789,733,819,769,778,788,789,733,819,769,778,788,789,733,819,769,778,788,789,733,819,769,778,788,789,733,819,769,778,788,789,733,819,769,778,788,789,22
3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,3674,3675,3612,3654,3773,3680,349
822,1004,898,985,873,1055,822,1004,898,985,873,1055,822,1004,898,985,873,1055,822,1004,898,985,873,1055,822,1004,898,985,873,1055,822,1004,898,985,873,1055,822,1004,898,985,873,1055,822,1004,898,985,873,1055,822,1004,898,985,873,1055,822,1004,898,985,873,1055,822,1004,898,985,873,1055,822,1004,898,985,873,1055,263
1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,1898,1825,1897,1991,1620,2325,369
1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,1755,1942,2116,1886,2060,2039,219
2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,2119,2162,2156,2138,2144,2158,491
6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,6024,6037,6047,5914,6109,6085,406
2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,2010,2017,2073,2196,2087,2077,382
5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,5010,5066,5033,5033,5047,5043,128
650,666,659,660,654,666,650,666,659,660,654,666,650,666,659,660,654,666,650,666,659,660,654,666,650,666,659,660,654,666,650,666,659,660,654,666,650,666,659,660,654,666,650,666,659,660,654,666,650,666,659,660,654,666,650,666,659,660,654,666,650,666,659,660,654,666,650,666,659,660,654,666,69
3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,3240,2894,3628,2948,3517,3354,79
1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,1680,1767,1758,1724,1717,1788,613
2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,2703,2734,2787,2737,2757,2809,461
1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,1472,1431,1510,1505,1479,1480,601
3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,3656,3643,3668,3376,3919,3757,253
1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,1900,1791,1806,2148,1911,1912,19
22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,22946,22708,23183,22805,23088,22946,101
5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,5228,5471,4906,5743,5016,5742,443
2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,2456,2355,3320,2518,2453,3537,385
1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,1290,1753,1568,1396,2172,1676,595
1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,1116,984,1529,864,1339,1450,264
1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,1350,1348,1358,1353,1342,1386,586
2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,2679,2851,2736,2862,2979,2823,576
7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,7747,7724,7438,8059,7752,7878,314
2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,2751,2925,3295,2740,5113,3365,274
889,836,915,904,900,890,889,836,915,904,900,890,889,836,915,904,900,890,889,836,915,904,900,890,889,836,915,904,900,890,889,836,915,904,900,890,889,836,915,904,900,890,889,836,915,904,900,890,889,836,915,904,900,890,889,836,915,904,900,890,889,836,915,904,900,890,889,836,915,904,900,890,40
3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,3017,3373,2469,4453,3290,3448,420
784,905,841,630,1061,950,784,905,841,630,1061,950,784,905,841,630,1061,950,784,905,841,630,1061,950,784,905,841,630,1061,950,784,905,841,630,1061,950,784,905,841,630,1061,950,784,905,841,630,1061,950,784,905,841,630,1061,950,784,905,841,630,1061,950,784,905,841,630,1061,950,784,905,841,630,1061,950,10
9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,9087,7402,10748,9098,9081,9101,550
5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,5873,5941,5178,6578,5967,5913,438
6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,6824,8410,5416,9611,7562,7878,100
1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,1447,1497,1495,1598,1554,1549,266
3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,3225,3227,3224,3162,3193,3324,471
3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,3881,4527,4654,4885,4496,4492,442
3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,3751,3102,4169,3992,3568,3957,166
1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,1932,1922,2027,1948,1971,1963,386
4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,4072,4164,4174,4054,4227,4139,121
3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,3606,3637,3562,3829,3656,3662,236
4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,4831,5051,5933,5374,4924,5671,537
1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,1066,1080,1112,1086,1015,1233,270
630,569,768,397,795,777,630,569,768,397,795,777,630,569,768,397,795,777,630,569,768,397,795,777,630,569,768,397,795,777,630,569,768,397,795,777,630,569,768,397,795,777,630,569,768,397,795,777,630,569,768,397,795,777,630,569,768,397,795,777,630,569,768,397,795,777,630,569,768,397,795,777,608
1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,1997,2566,2191,2447,2301,2309,467
